Unnamed: 0,Date,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd,Open,High,Low,Close,Volume,Market Cap
1265,2013-04-28,135.98998999999998,11090225.0,1508159586.85,4992243.921,7186.0,0.12653906586799998,0.0,379.0,7.95,74.5011506642,8974296.01489,572109.88793,32.57042361,2.53089417969,13.9586660794,107554.0,40986.0,16891249.0,22796.0,22880.0,617354.607989,166226.0,22605050.0,135.3,135.98,132.1,134.21,-,"1,500,520,000"
1266,2013-04-29,141.50002,11094750.0,1569907346.89,12886063.4124,7211.0,0.14012601105,0.0,313.0,6.35,80.7467561091,8974296.01489,645240.0912,35.83009291,1.5661399959,12.9024793777,73687.0,50009.0,16941258.0,27314.0,24458.0,897729.2018950002,291162.0,41199388.0,134.44,147.49,134.0,144.54,-,"1,491,160,000"
1267,2013-04-30,139.109,11098475.0,1543897758.78,11520673.4406,7238.0,0.185538865772,0.0,320.0,7.766666666669999,74.6333901792,10076292.8834,525692.911,54.59361391,1.6277932778100002,10.773499559400001,60887.0,48795.0,16990053.0,25564.0,23909.0,1785923.38873,232155.0,32294820.0,144.0,146.93,134.05,139.0,-,"1,597,780,000"
1268,2013-05-01,124.2998,11102000.0,1379976379.6,27231236.2233,7261.0,0.167729950355,0.0,314.0,8.0,70.6262282904,10076292.8834,442507.288,35.90344815,1.34138871984,8.77346567004,61672.0,50437.0,17040490.0,24530.0,25191.0,1233492.0586,265397.0,32988744.0,139.0,139.89,107.72,116.99,-,"1,542,820,000"
1269,2013-05-02,105.00003,11105600.0,1166088333.17,30687919.9965,7288.0,0.18994927777800005,0.0,336.0,7.86666666667,72.1289139987,10076292.8834,383775.10965,55.08432929999999,1.16228555235,6.70021840235,67744.0,57278.0,17097768.0,27688.0,26396.0,1127675.2675299998,314467.0,33019004.0,116.38,125.6,92.28,105.21,-,"1,292,190,000"
1270,2013-05-03,93.15,11109275.0,1034828966.25,27972774.0495,7315.0,0.183841367347,0.0,290.0,8.8,73.63159970699999,10076292.8834,346890.6,49.20782248,0.99856336095,6.21011117277,70210.0,55859.0,17153627.0,26506.0,28639.0,912306.813074,372936.0,34738967.0,106.25,108.13,79.1,97.75,-,"1,180,070,000"
1271,2013-05-04,111.98979,11113125.0,1244556534.99,18189055.8656,7339.0,0.156481733766,0.0,399.0,7.233333333330001,77.1378663597,10076292.8834,435864.26268,42.74796187,2.27738175917,9.0149592066,56115.0,48349.0,17201976.0,18242.0,22881.0,552714.557405,170898.0,19138832.0,98.1,115.0,92.5,112.5,-,"1,089,890,000"
1272,2013-05-05,117.89001,11116975.0,1310580293.92,11649114.6408,7363.0,0.157517538961,0.0,406.0,7.8,77.1378663597,10076292.8834,458356.35888,38.14591919,2.0767683663,9.27490153342,55974.0,49419.0,17251395.0,21113.0,25215.0,613475.0625479999,187214.0,22070654.0,112.9,118.8,107.14,115.91,-,"1,254,760,000"
1273,2013-05-06,120.94999,11121050.0,1345090886.29,21490110.0621,7389.0,0.160475509202,0.0,402.0,6.533333333330001,81.6459234846,10076292.8834,498918.70875,50.99940307,1.52354360134,9.73613903579,64381.0,51244.0,17302639.0,24879.0,25369.0,794309.095708,270750.0,32747255.0,115.98,124.66,106.64,112.3,-,"1,289,470,000"
1274,2013-05-07,106.81,11125450.0,1188309314.5,18288870.5056,7418.0,0.167736460227,0.0,389.0,6.7,88.1575615539,10076292.8834,474770.45,45.04501941,0.974882718394,8.01773959301,89457.0,59215.0,17361854.0,27551.0,27772.0,1023330.9609,455952.0,48700263.0,112.25,113.44,97.7,111.5,-,"1,248,470,000"
